Name,Emoji,Kategorie,Preis (Euro),Einheit,Kalorien (kcal/100g),Protein (g/100g),Kohlenhydrate (g/100g),Fett (g/100g)
"Lammhack","🐑","Fleisch","6.99","400g","280","21","0","21"
"Wildschweinhack","🐗","Fleisch","8.99","400g","185","22","0","11"
"Rehgulasch","🦌","Fleisch","9.99","400g","162","22","0","8"
"Kalbsschnitzel","🥩","Fleisch","9.99","300g","172","21","0","9.5"
"Rindersteak","🥩","Fleisch","8.99","200g","198","26","0","11"
"Rindergulasch","🥩","Fleisch","5.99","500g","185","22","0","10"
"Schweinerippchen","🥩","Fleisch","4.99","500g","261","20","0","20"
"Schweinenacken","🥩","Fleisch","3.99","500g","267","18","0","22"
"Chorizo","🌶️","Fleisch","2.49","200g","455","22","2","40"
"Salami","🍕","Fleisch","1.79","100g","425","22","2.5","37"
"Schinken roh","🥓","Fleisch","2.49","100g","250","25","0.5","16"
"Fleischwurst","🌭","Fleisch","1.49","200g","280","12","2","25"
"Mortadella","🌭","Fleisch","1.29","150g","310","13","1.5","28"
"Leberwurst","🫙","Fleisch","1.49","200g","302","12","3.5","27"
"Teewurst","🫙","Fleisch","1.49","125g","384","14","1","36"
"Lyoner","🌭","Fleisch","1.29","200g","265","13","2","23"
"Seelachsfilet","🐟","Fisch","3.49","400g","90","19","0","1.2"
"Pangasiusfilet","🐟","Fisch","2.99","400g","90","15","0","3.5"
"Rotbarschfilet","🐟","Fisch","3.99","300g","89","18","0","1.5"
"Heilbuttfilet","🐟","Fisch","7.99","300g","108","19","0","3.5"
"Schollefilet","🐟","Fisch","4.99","300g","91","18","0","1.7"
"Hering in Sahne","🐟","Fisch","2.49","500g","205","13","6.5","15"
"Räucherlachs","🐟","Fisch","3.99","100g","117","18","0","5"
"Garnelen TK","🦐","Fisch","4.99","400g","71","16","0","0.5"
"Muscheln TK","🦪","Fisch","3.99","400g","86","12","3.7","2"
"Oktopus TK","🐙","Fisch","5.99","500g","82","15","2.5","1.4"
"Tintenfischringe TK","🦑","Fisch","3.99","400g","92","16","3.5","1.8"
"Fischstäbchen","🐟","Fisch","2.49","400g","207","12","20","8.5"
"Fischfilet paniert","🐟","Fisch","3.49","400g","215","14","18","8"
"Makrele geräuchert","🐟","Fisch","2.49","200g","305","18","0","26"
"Matjes","🐟","Fisch","2.49","300g","199","17","0","14"
"Rucola","🥬","Gemüse","0.99","75g","37","2.6","3.3","0.7"
"Babyspinat","🥬","Gemüse","1.29","150g","23","2.9","1","0.4"
"Feldsalat","🥬","Gemüse","1.29","100g","23","2","0.4","0.4"
"Eissalat","🥬","Gemüse","0.79","Kopf","13","0.9","1.8","0.2"
"Radicchio","🥬","Gemüse","0.99","Kopf","23","1.4","3.5","0.3"
"Endivie","🥬","Gemüse","0.99","Kopf","15","1.3","1.4","0.2"
"Mangold","🥬","Gemüse","1.49","Bund","19","1.8","2.2","0.2"
"Grünkohl","🥬","Gemüse","1.29","Bund","49","4.3","3.9","0.9"
"Rotkohl","🥬","Gemüse","0.99","kg","31","1.5","5.7","0.2"
"Weißkohl","🥬","Gemüse","0.79","kg","28","1.3","5.4","0.1"
"Spitzkohl","🥬","Gemüse","0.99","Kopf","25","1.3","3.7","0.2"
"Rosenkohl","🌿","Gemüse","1.49","500g","45","3.4","5.7","0.5"
"Blumenkohl","🥦","Gemüse","1.49","Kopf","25","2.4","2.5","0.3"
"Romanesco","🥦","Gemüse","1.79","Kopf","28","2.5","3.5","0.4"
"Artischocke","🌿","Gemüse","1.49","Stück","40","2.8","6.5","0.2"
"Fenchel","🌿","Gemüse","0.99","Knolle","31","1.2","4.2","0.2"
"Staudensellerie","🌿","Gemüse","0.99","Bund","14","0.7","1.9","0.2"
"Knollensellerie","🥕","Gemüse","0.99","Knolle","27","1.7","3.8","0.3"
"Pastinake","🥕","Gemüse","1.29","500g","71","1.8","14","0.5"
"Topinambur","🥔","Gemüse","2.99","500g","73","2","16","0"
"Schwarzwurzel","🥕","Gemüse","1.99","500g","72","1.8","15","0.4"
"Rote Bete","🫑","Gemüse","0.99","500g","44","1.7","9.6","0.1"
"Mairübe","🫛","Gemüse","1.29","Bund","28","1","5.5","0.1"
"Kohlrabi","🌿","Gemüse","0.69","Stück","27","1.8","4.3","0.1"
"Wirsing","🥬","Gemüse","0.99","Kopf","36","2.4","5.2","0.3"
"Pak Choi","🥬","Gemüse","1.29","Stück","13","1.5","1.2","0.2"
"Okra","🌿","Gemüse","2.49","250g","33","2","6.5","0.1"
"Aubergine rund","🍆","Gemüse","0.99","Stück","24","1","4","0.2"
"Yam-Wurzel","🥔","Gemüse","2.99","500g","118","1.5","28","0.2"
"Cassava","🥔","Gemüse","2.49","500g","160","1.4","38","0.3"
"Batate orange","🍠","Gemüse","2.49","500g","86","1.6","20","0.1"
"Litchi","🍈","Obst","2.99","200g","66","0.8","16","0.4"
"Longan","🍇","Obst","3.49","200g","60","1.3","14","0.1"
"Drachenfrucht","🐉","Obst","2.49","Stück","60","1.2","13","0.4"
"Sternfrucht","⭐","Obst","2.99","Stück","31","1","6.7","0.3"
"Jackfrucht TK","🍈","Obst","3.99","500g","95","1.7","23","0.6"
"Tamarillo","🍅","Obst","2.49","Stück","31","2","4","0.5"
"Physalis","🫐","Obst","1.99","100g","49","1.9","10","0.7"
"Rambutan","🍒","Obst","3.99","200g","82","0.9","21","0.2"
"Granatapfelsaft","🍷","Obst","3.49","500ml","62","0.1","15","0.1"
"Clementinen","🍊","Obst","1.99","1kg","47","0.9","12","0.1"
"Satsumas","🍊","Obst","1.99","1kg","42","0.8","10","0.1"
"Blutorangen","🍊","Obst","2.49","1kg","50","1.1","12","0.1"
"Uglifrucht","🍋","Obst","1.99","Stück","48","0.6","12","0.1"
"Pomelo","🍋","Obst","1.49","Stück","38","0.8","9","0.1"
"Kumquat","🍊","Obst","2.99","250g","71","1.9","16","0.9"
"Mirabellen","🫐","Obst","2.49","500g","52","0.7","12","0.2"
"Zwetschgen","🫐","Obst","1.99","500g","49","0.7","11","0.3"
"Ringlotte","🍑","Obst","2.49","500g","43","0.7","9","0.2"
"Quitte","🍐","Obst","1.99","500g","57","0.4","15","0.1"
"Mispel","🍂","Obst","2.99","250g","47","0.5","11","0.4"
"Graupen","🌾","Grundnahrung","0.99","500g","345","10","73","1.5"
"Hirse","🌾","Grundnahrung","1.49","500g","363","11","72","3.9"
"Dinkelmehl","🌾","Grundnahrung","1.49","1kg","327","13","64","2.2"
"Maismehl","🌽","Grundnahrung","0.99","500g","362","7.2","76","3.3"
"Weizengrieß","🌾","Grundnahrung","0.89","500g","349","11","72","1.1"
"Maisgrieß","🌽","Grundnahrung","1.29","500g","362","7.2","76","3.3"
"Buchweizen","🌾","Grundnahrung","1.99","500g","343","13","72","3.4"
"Amaranth","🌾","Grundnahrung","2.49","400g","374","14","65","7"
"Teff","🌾","Grundnahrung","3.99","500g","367","13","73","2.4"
"Langkornreis braun","🍚","Grundnahrung","1.99","1kg","365","7.5","77","2.7"
"Klebreis","🍚","Grundnahrung","1.49","500g","362","6.5","80","0.6"
"Reisnudeln","🍜","Grundnahrung","1.29","250g","353","6","80","0.5"
"Glasnudeln","🍜","Grundnahrung","1.49","250g","352","0.2","87","0.1"
"Soba Nudeln","🍜","Grundnahrung","2.49","250g","348","13","70","1"
"Udon Nudeln","🍜","Grundnahrung","1.99","200g","355","10","73","1.5"
"Couscous Vollkorn","🌾","Grundnahrung","1.49","500g","355","13","71","2.3"
"Bulgur","🌾","Grundnahrung","1.29","500g","342","12","70","1.3"
"Polenta","🌽","Grundnahrung","0.99","500g","362","8","74","3"
"Tortilla Wraps","🫓","Grundnahrung","1.49","6 St.","300","8","52","6.5"
"Pitabrot","🫓","Grundnahrung","1.29","6 St.","275","8.5","55","1"
"Naan","🫓","Grundnahrung","1.49","2 St.","317","8.8","59","5"
"Pumpernickel","🍞","Grundnahrung","1.49","500g","219","7.3","42","1.5"
"Baguette","🥖","Grundnahrung","0.79","Stück","258","9","54","1"
"Ciabatta","🥖","Grundnahrung","1.29","Stück","270","8.5","54","3"
"Knäckebrot","🍞","Grundnahrung","1.29","250g","350","12","68","3.5"
"Reiswaffeln","🍘","Grundnahrung","0.99","100g","391","7","84","2.8"
"Zwieback","🍞","Grundnahrung","0.99","200g","423","10","79","8.5"
"Laugenstange","🥨","Grundnahrung","0.49","Stück","289","9.5","54","3"
"Laugenbrezel","🥨","Grundnahrung","0.39","Stück","290","9.5","55","2.5"
"Vollkorntoast","🍞","Grundnahrung","1.19","500g","247","9.5","43","4"
"Schwarze Bohnen","🫘","Hülsenfrüchte","0.89","400g","132","8.9","23","0.5"
"Pintobohnen","🫘","Hülsenfrüchte","0.89","400g","140","9","26","0.7"
"Butterbohnen","🫘","Hülsenfrüchte","0.99","400g","115","7.1","21","0.4"
"Mungbohnen","🫘","Hülsenfrüchte","1.49","500g","347","24","63","1.2"
"Adzukibohnen","🫘","Hülsenfrüchte","2.49","500g","329","20","63","0.5"
"Lupinensamen","🌼","Hülsenfrüchte","2.99","500g","371","36","40","9.7"
"Edamame TK","🫛","Hülsenfrüchte","2.49","400g","122","11","10","5.2"
"Sojaschnetzel","🌱","Hülsenfrüchte","2.49","200g","345","52","28","1"
"Tempeh","🌱","Hülsenfrüchte","2.99","200g","193","19","9.4","11"
"Seitan","🌱","Hülsenfrüchte","3.49","200g","370","75","12","1.9"
"Erdnussbutter","🥜","Nüsse","2.49","500g","588","25","20","50"
"Mandelmus","🌰","Nüsse","4.99","250g","614","21","19","55"
"Cashewmus","🌰","Nüsse","5.99","250g","587","17","26","49"
"Tahini","🫙","Nüsse","3.49","250g","595","17","21","53"
"Kokosnussraspeln","🥥","Nüsse","1.49","200g","604","6.1","24","60"
"Kürbiskerne","🌰","Nüsse","2.49","200g","541","25","18","46"
"Sonnenblumenkerne","🌻","Nüsse","1.49","200g","584","21","20","51"
"Sesamsamen","🌱","Nüsse","1.49","200g","573","18","23","50"
"Hanfsamen","🌿","Nüsse","4.99","250g","553","32","8.7","49"
"Mohnsamen","🌸","Nüsse","1.49","200g","555","18","9","45"
"Paranüsse","🌰","Nüsse","3.99","200g","659","14","12","66"
"Macadamia","🌰","Nüsse","5.99","200g","718","7.9","14","76"
"Pekannüsse","🌰","Nüsse","4.99","200g","691","9.2","14","72"
"Pistazien","🫘","Nüsse","4.99","200g","562","20","28","45"
"Maronen","🌰","Nüsse","2.99","200g","245","3.5","52","2.7"
"Rosmarin frisch","🌿","Gewürze","0.79","Topf","131","3.3","21","5.9"
"Thymian frisch","🌿","Gewürze","0.79","Topf","101","5.6","14","1.7"
"Basilikum frisch","🌿","Gewürze","0.99","Topf","23","3.1","2.6","0.6"
"Petersilie frisch","🌿","Gewürze","0.79","Bund","36","3","3.3","0.8"
"Schnittlauch","🌿","Gewürze","0.79","Topf","30","3.3","2.5","0.7"
"Dill frisch","🌿","Gewürze","0.79","Topf","43","3.5","5.6","1.1"
"Salbei","🌿","Gewürze","0.79","Topf","315","10","43","12"
"Minze frisch","🌿","Gewürze","0.79","Topf","70","3.8","8","0.9"
"Lorbeerblätter","🌿","Gewürze","0.79","10g","313","8","56","8.4"
"Sternanis","⭐","Gewürze","0.99","15g","337","18","50","16"
"Kardamom gemahlen","🌱","Gewürze","1.29","30g","311","11","54","7"
"Nelken gemahlen","🌱","Gewürze","0.99","30g","274","6","65","13"
"Muskat gemahlen","🌱","Gewürze","0.99","30g","525","5.8","49","36"
"Majoran getrocknet","🌿","Gewürze","0.79","10g","271","13","61","7"
"Bohnenkraut","🌿","Gewürze","0.79","10g","272","7","51","6"
"Koriander Samen","🌱","Gewürze","0.79","30g","298","12","55","18"
"Fenchelsamen","🌱","Gewürze","0.79","30g","345","16","52","15"
"Bockshornklee","🌱","Gewürze","0.99","50g","323","23","58","6.4"
"Sumach","🌺","Gewürze","1.99","50g","308","3.4","72","3.8"
"Za'atar","🌿","Gewürze","2.49","50g","410","11","66","13"
"Ras el Hanout","🌶️","Gewürze","2.49","50g","290","9","49","9.5"
"Berbere","🌶️","Gewürze","2.99","50g","296","10","47","11"
"Baharat","🌶️","Gewürze","2.49","50g","335","10","54","11"
"Garam Masala","🌶️","Gewürze","1.99","50g","379","14","55","14"
"Kürbiskernöl","🫙","Öle","6.99","250ml","884","0","0","100"
"Walnussöl","🫙","Öle","5.99","250ml","884","0","0","100"
"Mandelöl","🫙","Öle","5.99","250ml","884","0","0","100"
"Traubenkernöl","🫙","Öle","3.99","500ml","884","0","0","100"
"Erdnussöl","🫙","Öle","2.99","500ml","884","0","0","100"
"Distelöl","🫙","Öle","2.99","500ml","884","0","0","100"
"MCT Öl","🫙","Öle","12.99","500ml","884","0","0","100"
"Butterreinfett","🧈","Öle","3.49","250g","900","0.1","0","99"
"Kokosfett","🥥","Öle","2.99","500ml","884","0","0","100"
"Harissa","🌶️","Saucen","1.99","130g","76","2.5","7.5","4.2"
"Chimichurri","🌿","Saucen","2.99","150ml","165","1.5","5","16"
"Gochujang","🌶️","Saucen","3.49","200g","190","5","35","2"
"Miso weiß","🫙","Saucen","3.49","200g","199","12","27","6"
"Miso braun","🫙","Saucen","3.49","200g","206","11","30","6"
"Sojasauce hell","🫙","Saucen","1.49","150ml","60","5.6","8","0"
"Tamari","🫙","Saucen","2.49","150ml","60","5.6","8","0"
"Worcestersauce","🫙","Saucen","1.49","150ml","78","1.5","18","0.5"
"Tabasco","🌶️","Saucen","2.49","60ml","12","0.5","1.5","0.2"
"Sriracha","🌶️","Saucen","2.49","215ml","93","2","18","2"
"Tahini-Dip","🫙","Saucen","2.49","200ml","350","9","12","32"
"Hummus","🫙","Saucen","1.49","200g","177","7.9","16","10"
"Tzatziki","🫙","Saucen","1.49","200g","87","5","4.2","6"
"Guacamole","🥑","Saucen","1.99","150g","160","2","6","15"
"Aioli","🧄","Saucen","1.49","200g","403","1.8","4.2","43"
"Remoulade","🫙","Saucen","1.29","250ml","394","0.7","5.3","42"
"Cocktailsauce","🫙","Saucen","1.29","200ml","380","1","8.2","40"
"Hollandaise","🫙","Saucen","1.49","250ml","375","2.5","2","40"
"Béarnaise","🫙","Saucen","1.69","250ml","390","2","2.5","42"
"Rotweinsoße","🍷","Saucen","1.49","250ml","45","1.5","7","1"
"Salatdressing Essig","🫙","Saucen","0.99","250ml","185","0.5","4.5","19"
"Dinkelmehl 630","🌾","Backen","1.49","1kg","330","13","64","2.2"
"Roggenmehl 1150","🌾","Backen","1.29","1kg","318","9.5","66","1.7"
"Kartoffelmehl","🥔","Backen","1.49","500g","357","0.1","88","0.1"
"Mandelmehl","🌰","Backen","5.99","500g","569","21","20","50"
"Kokosmilch Dose","🥥","Backen","1.29","400ml","230","2.3","6","24"
"Kokosnussmilch dick","🥥","Backen","1.49","400ml","310","3","6","32"
"Vanilleextrakt","🫙","Backen","2.49","50ml","288","0.1","13","0.1"
"Bittermandelaroma","🌰","Backen","1.49","40ml","99","0","2","0"
"Rum Backaroma","🫙","Backen","0.99","40ml","99","0","1.5","0"
"Gelatine Blätter","🫙","Backen","0.99","12 Bl.","340","84","0","0"
"Agar Agar","🌿","Backen","2.49","30g","26","0.6","6.8","0"
"Pektin","🌿","Backen","1.99","25g","11","0.1","2.5","0"
"Flohsamenschalen","🌱","Backen","4.99","200g","199","2","84","1"
"Weinsteinbackpulver","🫙","Backen","0.79","3×15g","0","0","0","0"
"Natron","🫙","Backen","0.49","200g","0","0","0","0"
"Trockenhefe","🌾","Backen","0.69","21g","325","41","29","7"
"Frischhefe","🌾","Backen","0.29","42g","104","13","13","0.4"
"Zartbitterschokolade","🍫","Backen","1.49","200g","535","5.2","54","33"
"Kuvertüre","🍫","Backen","2.49","200g","570","5","47","38"
"Weiße Schokolade","🍫","Backen","1.29","100g","563","6.3","59","33"
"Leitungswasser","💧","Getränke","0.01","1L","0","0","0","0"
"Stilles Wasser 6x","💧","Getränke","1.99","6x1.5L","0","0","0","0"
"Wasser mit Kohlensäure","💧","Getränke","0.79","1L","0","0","0","0"
"Apfelschorle","🍎","Getränke","0.79","1L","41","0.1","10","0"
"Orangensaft 100%","🍊","Getränke","1.49","1L","45","0.7","10","0.2"
"Multivitaminsaft","🍇","Getränke","1.29","1L","50","0.3","12","0.1"
"Tomatensaft","🍅","Getränke","0.99","1L","18","0.8","3.5","0.2"
"Rote Beete Saft","🍷","Getränke","1.99","750ml","40","1.4","9","0.1"
"Ingwerschuss","🌿","Getränke","2.49","100ml","60","0.2","15","0.2"
"Kurkuma Latte","🌼","Getränke","3.99","250ml","120","4.5","14","4.5"
"Protein Shake ready","💪","Getränke","2.49","330ml","133","20","11","2.5"
"Kombucha","🍵","Getränke","1.99","330ml","30","0","7.5","0"
"Kefir Drink","🥛","Getränke","1.49","330ml","57","3.5","5.5","2"
"Eistee Pfirsich","🍑","Getränke","0.89","500ml","25","0","6.2","0"
"Limonade","🍋","Getränke","0.79","500ml","39","0","9.7","0"
"Cola","🥤","Getränke","0.79","500ml","42","0","11","0"
"Mineralwasser Kasten","💧","Getränke","5.99","12x0.7L","0","0","0","0"
"Bier","🍺","Getränke","0.89","500ml","43","0.5","3.5","0"
"Weizenbier","🍺","Getränke","0.99","500ml","48","0.5","4.5","0"
"Wein Rotwein","🍷","Getränke","3.99","750ml","74","0.1","2.5","0"
"Wein Weißwein","🍾","Getränke","3.99","750ml","70","0.1","2","0"
"Sekt","🥂","Getränke","3.49","750ml","72","0.2","3.5","0"
"Whisky","🥃","Getränke","12.99","700ml","250","0","0","0"
"Gummibärchen","🐻","Süßes","1.49","200g","343","6.4","78","0.1"
"Schokolinsen","🍫","Süßes","1.49","200g","481","5","75","19"
"Kaubonbons","🍬","Süßes","0.99","150g","362","4.5","76","6"
"Karamell","🍮","Süßes","1.99","200g","382","3.5","71","9.5"
"Nougat","🍫","Süßes","2.49","200g","478","6.5","68","22"
"Marzipan","🌸","Süßes","1.99","200g","479","10","52","25"
"Spekulatius","🍪","Süßes","1.29","400g","480","7.5","70","18"
"Lebkuchen","🍪","Süßes","1.49","300g","381","6.5","71","8.5"
"Waffeln","🧇","Süßes","0.99","200g","495","6.5","61","24"
"Donut","🍩","Süßes","0.79","Stück","418","5.5","56","19"
"Croissant","🥐","Süßes","0.79","Stück","406","8.2","46","21"
"Berliner","🍩","Süßes","0.89","Stück","305","5.5","47","11"
"Tiramisu","☕","Süßes","2.49","200g","281","6.5","28","16"
"Mousse au Chocolat","🍫","Süßes","1.99","150g","390","6","37","24"
"Panna Cotta","🍮","Süßes","1.49","150g","213","3.5","24","12"
"Crème Brûlée","🍮","Süßes","1.99","150g","280","3.5","27","18"
"Tapioka Pudding","🍮","Süßes","1.49","150g","138","0.5","33","1"
"Energieriegel","💪","Süßes","1.49","60g","405","10","59","15"
"Proteinriegel","💪","Süßes","2.49","60g","350","20","39","9"
"Reiswaffel süß","🍘","Süßes","0.99","100g","400","6.5","82","3"
"Kartoffelchips","🥔","Süßes","1.49","150g","536","6.5","52","34"
"Tortilla Chips","🌮","Süżes","1.49","150g","484","7.5","64","22"
"Popcorn gesalzen","🍿","Süßes","0.99","100g","543","9.4","58","29"
"Erdnuss-Flips","🥜","Süßes","0.99","200g","542","9.5","50","35"
"Brezel Snack","🥨","Süßes","0.99","150g","374","10","74","3.5"
"Pizza TK Salami","🍕","Tiefkühl","2.99","350g","256","12","30","9.5"
"Pizza TK Margherita","🍕","Tiefkühl","2.49","320g","237","9.5","31","8"
"Pommes Frites TK","🍟","Tiefkühl","1.49","750g","177","3","28","6"
"Kartoffelpuffer TK","🥔","Tiefkühl","2.49","400g","196","4","26","8.5"
"Spinat TK","🥬","Tiefkühl","1.29","750g","20","2.5","1.5","0.4"
"Erbsen TK","🫛","Tiefkühl","1.29","750g","74","5.4","11","0.4"
"Bohnen TK grün","🫘","Tiefkühl","1.29","750g","31","2","5.5","0.2"
"Blumenkohl TK","🥦","Tiefkühl","1.49","750g","22","2","3","0.3"
"Broccoli TK","🥦","Tiefkühl","1.49","750g","27","3","2.3","0.4"
"Mischgemüse TK","🥕","Tiefkühl","1.49","750g","45","2.5","7","0.5"
"Suppengemüse TK","🥕","Tiefkühl","1.49","750g","35","1.5","6.5","0.3"
"Hähnchen TK","🍗","Tiefkühl","5.99","1kg","165","22","0","8"
"Hackfleisch TK","🥩","Tiefkühl","4.99","1kg","216","17","0","17"
"Lachs TK","🐟","Tiefkühl","6.99","400g","208","20","0","14"
"Beerenmix TK","🫐","Tiefkühl","2.49","750g","45","0.8","8.5","0.4"
"Mango TK","🥭","Tiefkühl","2.49","500g","60","0.8","15","0.4"
"Maisbohnen TK","🌽","Tiefkühl","1.49","750g","85","3.2","17","1.2"
"Kichererbsen Dose","🫘","Konserven","0.79","400g","164","9","27","2.6"
"Maiskörner Dose","🌽","Konserven","0.69","425ml","82","3.3","16","1.5"
"Rote Bohnen Dose","🫘","Konserven","0.79","400g","128","8.5","22","0.5"
"Linsen Dose","🫘","Konserven","0.79","400g","116","9","19","0.4"
"Artischocken Glas","🌿","Konserven","2.49","280g","40","2.8","6.5","0.2"
"Oliven grün Glas","🫒","Konserven","1.49","185g","145","1","1.5","15"
"Oliven schwarz Dose","🫒","Konserven","1.29","185g","139","1","1.8","15"
"Kapern Glas","🫙","Konserven","0.99","100g","23","2.4","4.9","0.9"
"Gurken sauer","🥒","Konserven","0.99","400g","14","0.6","2.5","0.1"
"Rote Bete Dose","🫑","Konserven","0.79","425g","40","1.5","8.5","0.1"
"Sellerie Dose","🌿","Konserven","0.89","400g","15","0.8","2.5","0.1"
"Mandarin Dose","🍊","Konserven","0.69","314ml","60","0.7","14","0.1"
"Pfirsich Dose","🍑","Konserven","0.99","425g","72","0.6","17","0.1"
"Birne Dose","🍐","Konserven","0.99","425g","68","0.4","17","0.1"
"Ananas Dose","🍍","Konserven","0.89","425g","60","0.4","15","0.1"
"Sauerkirschen Glas","🍒","Konserven","1.29","720ml","70","1.2","16","0.5"
"Heidelbeeren Dose","🫐","Konserven","1.49","425g","61","0.7","15","0.3"
"Thunfisch in Öl","🐟","Konserven","0.99","185g","198","25","0","11"
"Sardinen Dose","🐟","Konserven","1.29","120g","208","25","0","12"
"Lachs Dose","🐟","Konserven","2.49","213g","167","22","0","8.7"
"Hühnerbrühe Dose","🍗","Konserven","0.99","400ml","17","1.5","1.5","0.5"
"Gemüsebrühe Dose","🥕","Konserven","0.89","400ml","15","0.8","2.5","0.3"
"Instant Nudeln","🍜","Fertig","0.49","85g","453","11","64","18"
"Cup Noodles","🍜","Fertig","0.79","65g","454","10","66","17"
"Fertigsuppe Dose","🥫","Fertig","0.89","400ml","55","3.5","7.5","1.5"
"Tomatensauce Glas","🫙","Fertig","1.49","350g","57","2","9.5","1.5"
"Bolognese Glas","🍝","Fertig","1.99","400g","98","6.5","8.5","4.5"
"Curry Sauce Glas","🍛","Fertig","1.99","400g","89","3","12","3.5"
"Gulasch Dose","🥩","Fertig","2.99","400g","155","14","5","9"
"Ravioli Dose","🍝","Fertig","0.99","400g","100","5","14","2.8"
"Couscous Fertig","🌾","Fertig","0.99","200g","355","13","71","2.3"
"Quinoa Fertig","🌾","Fertig","2.49","200g","368","14","64","6.1"
"Kartoffelpüree Pulver","🥔","Fertig","1.29","200g","345","7.5","72","2.5"
"Knödel Pulver","🥔","Fertig","1.49","200g","340","7","74","1.5"
"Filterkaffee","☕","Kaffee","4.99","500g","2","0.3","0","0"
"Instant Kaffee","☕","Kaffee","3.99","200g","2","0.1","0","0"
"Espresso gemahlen","☕","Kaffee","5.99","250g","2","0.3","0","0"
"Kaffeekapseln","☕","Kaffee","5.99","10 St.","2","0.1","0","0"
"Grüner Tee","🍵","Kaffee","2.49","25 Btl.","1","0","0","0"
"Schwarzer Tee","🍵","Kaffee","1.99","25 Btl.","1","0","0","0"
"Pfefferminztee","🌿","Kaffee","1.49","20 Btl.","1","0","0","0"
"Kamillentee","🌼","Kaffee","1.49","20 Btl.","1","0","0","0"
"Ingwertee","🫚","Kaffee","1.99","20 Btl.","5","0","1","0"
"Rooibos Tee","🍵","Kaffee","2.49","40 Btl.","1","0","0","0"
"Matcha Pulver","🍵","Kaffee","7.99","100g","324","30","38","5.3"
"Kakao Pulver","🍫","Kaffee","2.99","250g","228","21","27","11"
"Heiße Schokolade Px","🍫","Kaffee","2.49","250g","381","5.5","68","8.5"
